id,original_title,original_authors,original_venue,original_year,rank,candidate_doi,candidate_title,candidate_container,candidate_year,crossref_score,title_similarity,confirmed
pub-conf-062,Analysis of Tourists' Image of Seoul with Geotagged Photos Using Convolutional Neural Networks,"Dongeun Kim, Youngok Kang, Juyoon Lee, Nayeon Kim, Yearim Park",29th International Cartographic Conference,2019,2,10.1007/s41324-019-00285-x,Understanding tourists’ urban images with geotagged photos using convolutional neural networks,Spatial Information Research,2019,68.056656,0.533,
pub-conf-062,Analysis of Tourists' Image of Seoul with Geotagged Photos Using Convolutional Neural Networks,"Dongeun Kim, Youngok Kang, Juyoon Lee, Nayeon Kim, Yearim Park",29th International Cartographic Conference,2019,3,10.16879/jkca.2019.19.1.035,Spatio-Temporal Analysis of Attractive Regions of Seoul Tourists using Geotagged Photos,Journal of the Korean Cartographic Association,2019,47.441605,0.438,
pub-conf-061,An Analysis of Movement by Visualizing Spatio-temporal Characteristics of Log Data,"Nahye Cho, Youngok Kang",29th International Cartographic Conference,2019,1,10.5194/ica-proc-2-18-2019,An Analysis of Movement by Visualizing Spatio-Temporal Characteristics of Logdata,Proceedings of the ICA,2019,67.78626,0.75,O
pub-conf-061,An Analysis of Movement by Visualizing Spatio-temporal Characteristics of Log Data,"Nahye Cho, Youngok Kang",29th International Cartographic Conference,2019,2,10.5194/ica-proc-1-19-2018,Exploration of spatio-temporal patterns of students’ movement in field trip by visualizing the log data,Proceedings of the ICA,2018,67.428925,0.444,
pub-conf-061,An Analysis of Movement by Visualizing Spatio-temporal Characteristics of Log Data,"Nahye Cho, Youngok Kang",29th International Cartographic Conference,2019,3,10.1007/s41324-016-0079-x,Space-time density of field trip trajectory: exploring spatio-temporal patterns in movement data,Spatial Information Research,2017,50.631477,0.25,
pub-conf-005,Enhanced Interaction-Aware Pedestrian Trajectory Prediction via Social Pooling and Transformer-Based Cross Attention,Jiwoo Ha,SIGSPATIAL '25,2025,1,10.1145/3748636.3766530,Pedestrian Trajectory Prediction via Social Pooling and Transformer Cross Attention,Proceedings of the 33rd ACM International Conference on Advances in Geographic Information Systems,2025,72.99982,0.714,O
pub-conf-005,Enhanced Interaction-Aware Pedestrian Trajectory Prediction via Social Pooling and Transformer-Based Cross Attention,Jiwoo Ha,SIGSPATIAL '25,2025,2,10.7319/kogsis.2025.33.4.003,Social Pooling and Cross Attention-Based Transformer Model for Pedestrian Trajectory Prediction in Urban Back Streets,Journal of Korean Society for Geospatial Information Science,2025,63.807594,0.5,
pub-conf-005,Enhanced Interaction-Aware Pedestrian Trajectory Prediction via Social Pooling and Transformer-Based Cross Attention,Jiwoo Ha,SIGSPATIAL '25,2025,3,10.1109/tvcg.2026.3679899/mm1,Int3DNet: Scene-Motion Cross Attention Network for 3D Intention Prediction in Mixed Reality_supp1-3679899.mp4,,,31.437418,0.111,
pub-conf-007,Modeling Stopped Vehicle Dynamics on Urban Backstreets via GraphLSTM-Attn,"Jiwon Kim, Jiyoon Lee, Youngok Kang",SIGSPATIAL '25,2025,1,10.1145/3748636.3763213,Modeling Stopped Vehicle Dynamics on Urban Backstreets via GraphLSTM-Attn: A Context-Aware GeoAI Approach,Proceedings of the 33rd ACM International Conference on Advances in Geographic Information Systems,2025,94.39891,0.667,O
pub-conf-007,Modeling Stopped Vehicle Dynamics on Urban Backstreets via GraphLSTM-Attn,"Jiwon Kim, Jiyoon Lee, Youngok Kang",SIGSPATIAL '25,2025,2,10.7319/kogsis.2026.34.1.029,Development of a GraphLSTM-Attn Model for Time-Series Prediction of Urban Backstreets Parking,Journal of Korean Society for Geospatial Information Science,2026,59.559452,0.211,
